source,summary,model,HHEMv1,HHEM-2.1,HHEM-2.1-English,trueteacher,true_nli,gpt-3.5-turbo,gpt-4-turbo,gpt-4o,HHEM-2.1-Open,minicheck-roberta-large,minicheck-deberta-v3-large,minicheck-flan-t5-large,gpt-4
"Albert Lawrence Brooks ( born Albert Lawrence Einstein ; July 22 , 1947 ) is an American actor , filmmaker , author and comedian . Finding Dory . Directed by Andrew Stanton with co-direction by Angus MacLane , the screenplay was written by Stanton and Victoria Strouse ."," Albert Lawrence Brooks, originally named Albert Lawrence Einstein, is an American actor, filmmaker, author, and comedian. He is known for co-directing and co-writing the movie ""Finding Dory"" with Andrew Stanton and Victoria Strouse.",mistralai/Mistral-7B-Instruct-v0.3,0.80824,0.32366,0.62246,0,0.0,0,0,0,0.91874,0,0,0,0
"Timothy Simon Roth ( born 14 May 1961 ) is an English actor and director . Tim Roth ( born December 6 , 1975 ) is the guitarist , backing vocalist and only remaining founding member of Canadian melodic death metal and progressive metal band , Into Eternity ."," The passage provides information about two individuals with similar names but different professions and nationalities. Timothy Simon Roth, born May 14, 1961, is an English actor and director. On the other hand, Tim Roth, born December 6, 1975, is a Canadian musician, serving as the guitarist, backing vocalist, and the only remaining founding member of the Canadian melodic death metal and progressive metal band, Into Eternity.",mistralai/Mistral-7B-Instruct-v0.3,0.92717,0.83625,0.97821,1,1.0,0,1,1,0.75143,0,0,0,1
"Billy Ray Cyrus is an American country music singer , songwriter , actor and philanthropist , who helped make country music a worldwide phenomenon . Excuse My French is the debut studio album by American rapper French Montana . Excuse My French is a 2014 Egyptian film Comedy directed by Amr Salama , based on Salama 's own experiences at a public middle school in Egypt after his return from Saudi Arabia . The film was initially deemed too sensitive by the censorship board and Salama was forced to adjust the script while trying to preserve the film 's core concept of religious discrimination ."," The passage provides information about three distinct entities:

1. Billy Ray Cyrus: An American multi-talented individual known for his work in country music, acting, songwriting, and philanthropy. He played a significant role in popularizing country music globally.

2. Excuse My French: Refers to two different entities:
   - The debut studio album by American rapper French Montana.
   - A 2014 Egyptian film comedy directed by Amr Salama, which was initially deemed too sensitive by the censorship board and required script adjustments to preserve its core concept of religious discrimination. The film is based on Salama's own experiences at a public middle school in Egypt after his return from Saudi Arabia.

In summary, the passage discusses Billy Ray Cyrus's contributions to country music, introduces French Montana's debut album, and describes a sensitive Egyptian film titled Excuse My French, which was directed by Amr Salama and faced censorship issues.",mistralai/Mistral-7B-Instruct-v0.3,0.98241,0.92613,0.98639,0,1.0,1,1,1,0.94597,0,0,0,1
"Christopher Livingstone Eubanks ( born 8 August 1966 ) , known as Chris Eubank , is a British former professional boxer who competed from 1985 to 1998 . Christopher Livingstone `` Chris '' Eubank Jr. ( born 18 September 1989 ) is a British professional boxer . He has held the IBO super-middleweight title since February 2017 , having previously held the WBA interim middleweight title in 2015 , and the British middleweight title in 2016 . As of May 2017 , Eubank Jr. is ranked as the world 's fifth best super middleweight by BoxRec , Also he is ranked as the seventh best middleweight by The Ring magazine and eighth by the Transnational Boxing Rankings Board ."," The passage discusses two British professional boxers: Chris Eubank Sr. and Chris Eubank Jr. Chris Eubank Sr., born on August 8, 1966, competed from 1985 to 1998. Chris Eubank Jr., born on September 18, 1989, is still active. Eubank Jr. has held the IBO super-middleweight title since February 2017, previously holding the WBA interim middleweight title in 2015 and the British middleweight title in 2016. As of May 2017, Eubank Jr. is ranked as the world's fifth best super middleweight by BoxRec, seventh best middleweight by The Ring magazine, and eighth by the Transnational Boxing Rankings Board.",mistralai/Mistral-7B-Instruct-v0.3,0.57071,0.78568,0.95204,1,1.0,1,1,1,0.89902,0,0,0,1
"Fox News . Rupert Murdoch is the current chairman and acting CEO of Fox News . James Rupert Jacob Murdoch ( [ ˈmɜrdɒk ] born 13 December 1972 ) is an Australian , British , American businessman , the younger son of media mogul Rupert Murdoch , the chief executive officer ( CEO ) of 21st Century Fox , and chairman of Sky plc. . Rupert Murdoch . Murdoch thus had full control as Chairman and CEO of global media holding company News Corporation , now the world 's second-largest media conglomerate , and its successors , News Corp and 21st Century Fox , after the conglomerate split on 28 June 2013 ."," The passage discusses the business roles of two individuals, Rupert Murdoch and James Murdoch. Rupert Murdoch is the current chairman and acting CEO of Fox News. James Murdoch, born on December 13, 1972, is an Australian-British-American businessman who is the younger son of media mogul Rupert Murdoch. James is the CEO of 21st Century Fox and the chairman of Sky plc. Rupert Murdoch had full control as Chairman and CEO of News Corporation, now the world's second-largest media conglomerate, and its successors, News Corp and 21st Century Fox, following the conglomerate's split on June 28, 2013.",mistralai/Mistral-7B-Instruct-v0.3,0.96685,0.96474,0.99096,1,1.0,1,1,1,0.97293,1,1,1,1
"Poseidon (film) . Poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million ."," The film ""Poseidon"" grossed $181,674,817 at the worldwide box office, with a production budget of $160 million.",mistralai/Mistral-7B-Instruct-v0.3,0.9995,0.52694,0.98313,1,1.0,1,1,1,0.39051,1,0,0,1
"Francis I ( Franz Stefan , François Étienne 8 December 1708 -- 18 August 1765 ) was Holy Roman Emperor and Grand Duke of Tuscany , though his wife effectively executed the real powers of those positions . Francis I ( François Ier ) ( 12 September 1494 -- 31 March 1547 ) was the first King of France from the Angoulême branch of the House of Valois , reigning from 1515 until his death . He was also known as François au Grand Nez ( `` Francis of the Large Nose '' ) , the Grand Colas , and the Roi-Chevalier ( the `` Knight-King '' ) for his personal involvement in the wars against his great rival the Holy Roman Emperor and King of Spain Charles V. When this was unsuccessful , he formed a Franco-Ottoman alliance with the Muslim sultan Suleiman the Magnificent , a controversial move for a Christian king at the time . The Italian war of 1536-1538 was a conflict between King Francis I of France and Charles V , King of Spain and Holy Roman Emperor ."," The passage discusses two individuals named Francis I. The first, Francis I (Franz Stefan, Francois Etienne, born on 8 December 1708 and died on 18 August 1765), was the Holy Roman Emperor and Grand Duke of Tuscany, but his wife held the real powers of these positions. The second, Francis I (Francois Ier, born on 12 September 1494 and died on 31 March 1547), was the first King of France from the Angouleme branch of the House of Valois, reigning from 1515 until his death. He was also known as Francois au Grand Nez, the Grand Colas, and the Roi-Chevalier due to his personal involvement in wars against Charles V, his great rival who was the King of Spain and Holy Roman Emperor. When his wars against Charles V were unsuccessful, Francis I formed a Franco-Ottoman alliance with Suleiman the Magnificent, a controversial move for a Christian king. The Italian war of 1536-1538 was a conflict between King Francis I of France",mistralai/Mistral-7B-Instruct-v0.3,0.91286,0.96281,0.99446,1,1.0,0,1,1,0.90063,1,1,1,1
"James Jones (author) . He won the 1952 National Book Award for his first published novel , From Here to Eternity , which was adapted for the big screen immediately and made into a television series a generation later . James Jones (basketball player) . He averaged 25 points per game as a senior , earning Class 6A Player of the Year and First Team All-State honors . He has won three NBA championships , two with the Heat and one with the Cavaliers . In 2017 , he and teammate LeBron James reached the NBA Finals for the seventh consecutive year . He finished third in the NBA in three-point percentage during the 2007 -- 08 season and won the Three-Point Contest in 2011 ."," The passage provides information about two individuals named James Jones. The first James Jones is an author who won the 1952 National Book Award for his first novel, ""From Here to Eternity,"" which was later adapted for a movie and a TV series. The second James Jones is a basketball player who has won three NBA championships, two with the Miami Heat and one with the Cleveland Cavaliers. In 2017, he and teammate LeBron James reached the NBA Finals for the seventh consecutive year. He also finished third in the NBA in three-point percentage during the 2007-08 season and won the Three-Point Contest in 2011.",mistralai/Mistral-7B-Instruct-v0.3,0.96985,0.9415,0.99427,1,1.0,0,1,1,0.8303,0,1,0,1
"Excuse My French is the debut studio album by American rapper French Montana . Excuse My French is a 2014 Egyptian film Comedy directed by Amr Salama , based on Salama 's own experiences at a public middle school in Egypt after his return from Saudi Arabia . Benjamin Paul Ballance-Drew ( born 22 October 1983 ) , primarily known as Plan B or Ben Drew , is a British hip hop recording artist , actor , film director and producer ."," The passage provides information about two distinct entities:

1. French Montana: He is an American rapper and his debut studio album is titled Excuse My French.

2. Plan B (Benjamin Paul Ballance-Drew): He is a British hip hop recording artist, actor, film director, and producer. No specific details about him were mentioned regarding an album or film.

Additionally, there is a separate entity, Excuse My French, but it is unclear whether it refers to the album by French Montana or the 2014 Egyptian film directed by Amr Salama. Without further context, it is difficult to definitively say which entity the title Excuse My French refers to in the passage.",mistralai/Mistral-7B-Instruct-v0.3,0.79302,0.38515,0.94686,1,1.0,0,1,1,0.94894,0,0,1,1
"Homer ( Ὅμηρος [ hómɛːros ] , Hómēros ) is the name ascribed by the ancient Greeks to the author of the Iliad and the Odyssey , two epic poems which are the central works of ancient Greek literature . The Thicket is an mystery/suspense novel written by American author Joe R. Lansdale ."," The passage provides information about two distinct works:

1. The Iliad and the Odyssey: These are epic poems that are central to ancient Greek literature. They were attributed to a Greek author named Homer.

2. The Thicket: This is a mystery/suspense novel written by American author Joe R. Lansdale. The passage does not provide any details about the content of this novel.",mistralai/Mistral-7B-Instruct-v0.3,0.01079,0.56965,0.81621,0,0.0,0,1,1,0.71462,0,0,0,1
"Lake Providence is a town in and the parish seat of East Carroll Parish in northeastern Louisiana , United States . University of Mississippi . About 55 percent of its undergraduates and 60 percent overall come from Mississippi , and 23 percent are minorities ; international students come from 90 nations ."," Lake Providence is a town located in East Carroll Parish, northeastern Louisiana, USA. The passage mentions that the University of Mississippi, which has a significant presence in the area, has a majority of its undergraduate and overall students originating from Mississippi (55% and 60% respectively). Additionally, 23% of the students are minorities, and international students hail from 90 different countries.",mistralai/Mistral-7B-Instruct-v0.3,0.97387,0.96092,0.93227,1,1.0,0,0,0,0.70208,1,1,1,1
"Rage Against the Machine . The same year , growing tensions over the direction of the band prompted de la Rocha to quit , leading to the band 's breakup . De la Rocha started a low-key solo career , while the rest of the band formed the rock supergroup Audioslave with Chris Cornell , then-former frontman of Soundgarden ; Audioslave recorded three albums before disbanding in 2007 . The same year , Rage Against the Machine announced a reunion and performed together for the first time in seven years at the Coachella Valley Music and Arts Festival in April 2007 . Renegades is the fourth studio album by the American rap metal band Rage Against the Machine , released on December 5 , 2000 by Epic Records ."," Rage Against the Machine's lead vocalist, Zack de la Rocha, left the band in the same year due to creative differences, causing the band to disband. De la Rocha pursued a low-key solo career, while the remaining members formed Audioslave with Chris Cornell, the former frontman of Soundgarden. Audioslave released three albums before disbanding in 2007. In the same year, Rage Against the Machine reunited and performed at the Coachella Valley Music and Arts Festival. Their fourth studio album, ""Renegades,"" was released in 2000.",mistralai/Mistral-7B-Instruct-v0.3,0.53894,0.59429,0.78472,1,1.0,1,1,1,0.69812,0,0,0,1
"Neil Aspin's promotion-chasing hosts have not lost in nine National League matches while Adam Lockwood's side are unbeaten in five. Guiseley went ahead on 15 minutes against the run of play when a throw-in found James Hurst who squared to Jake Lawlor to stroke into an empty net. Gateshead defender Liam Hogan superbly blocked Jordan Preston's effort and Guiseley keeper Jonny Maxted then saved well from Wesley York's shot just before the break. The hosts, who started the second half well, levelled on 62 minutes when a slip by half-time substitute Derek Asamoah let York curl sweetly into the top-right corner from the edge of the box. Match report supplied by the Press Association. Match ends, Gateshead 1, Guiseley 1. Second Half ends, Gateshead 1, Guiseley 1. Substitution, Guiseley. Michael Rankine replaces Jordan Preston. Substitution, Gateshead. Luke Hannant replaces Gus Mafuta. Gus Mafuta (Gateshead) is shown the yellow card. Substitution, Guiseley. Adam Boyes replaces Jake Cassidy. Goal!  Gateshead 1, Guiseley 1. Wes York (Gateshead). Substitution, Guiseley. Derek Asamoah replaces Kevan Hurst. Second Half begins Gateshead 0, Guiseley 1. First Half ends, Gateshead 0, Guiseley 1. Simon Walton (Guiseley) is shown the yellow card. Goal!  Gateshead 0, Guiseley 1. Jake Lawlor (Guiseley). First Half begins. Lineups are announced and players are warming up."," In this passage, we have a summary of a football match between Guiseley and Gateshead in the National League. Guiseley took the lead on the 15th minute through Jake Lawlor, but Gateshead equalized on the 62nd minute with a goal from Wes York. Both teams were unbeaten in their previous matches. The match ended in a 1-1 draw. There were several substitutions during the game, and some players received yellow cards. The match report was supplied by the Press Association.",mistralai/Mistral-7B-Instruct-v0.3,0.92891,0.38743,0.55207,1,1.0,1,1,1,0.25801,1,1,1,1
"Grant Ward's scuffed shot put Town ahead before Luke Varney rolled the ball into an empty net after QPR keeper Alex Smithies miscued a clearance. Cole Skuse's long-range shot fell to Tom Lawrence, who capped the scoring with a calm finish into the corner. Rangers offered little in attack, but sub Sandro headed Tjarron Cherry's corner against the post late on. Ipswich had failed to score in seven of their previous 10 Championship games, but could have had plenty more, with Christophe Berra heading wide from six yards, and Skuse firing a volley straight at Smithies. The Rs have won only once in their last six matches away from Loftus Road, and rarely looked like improving that record in Ian Holloway's second game in charge. The win lifted Mick McCarthy's Ipswich up four places to 14th and above Rangers, who slipped to 15th. Ipswich manager Mick McCarthy: ""The irony was that poor old Alex Smithies cost them the second goal which set us up to win as comprehensively as we did. He then kept it from being an embarrassing scoreline, but I'll take three. ""With Luke Varney and also Jonathan Douglas, I knew what I was going to get - even though I bet some people weren't thinking that when they saw the teamsheet. Luke epitomised everything what I want in this team. ""We have not been bristling with confidence. I have had a couple of rotten weekends after Rotherham and Nottingham Forest. But hopefully Ipswich can be a happier place than it has been."" QPR boss Ian Holloway:  ""I am sure everyone will say everything hinged on the second goal, but it shouldn't have. ""The goal was a calamity and after that we were awful and it could have been four or five. ""Everyone will blame my keeper but I won't as my defenders should have made an angle for him. Even with my legs, I would have ran back and tried to help him. ""My players need to be mentally tougher as a group. I am disappointed with how we finished today. We have got to try and be a bigger, braver and more solid team."" Match ends, Ipswich Town 3, Queens Park Rangers 0. Second Half ends, Ipswich Town 3, Queens Park Rangers 0. Attempt saved. Yeni N'Gbakoto (Queens Park Rangers) right footed shot from outside the box is saved in the bottom left corner. Yeni N'Gbakoto (Queens Park Rangers) wins a free kick in the attacking half. Foul by Luke Chambers (Ipswich Town). Attempt saved. Freddie Sears (Ipswich Town) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Jonathan Douglas. Offside, Ipswich Town. Leon Best tries a through ball, but Jonathan Douglas is caught offside. Attempt saved. David McGoldrick (Ipswich Town) right footed shot from the centre of the box is saved in the top centre of the goal. Assisted by Leon Best. Attempt saved. Freddie Sears (Ipswich Town) right footed shot from outside the box is saved in the centre of the goal. Assisted by Cole Skuse. Karl Henry (Queens Park Rangers) wins a free kick in the defensive half. Foul by Jonathan Douglas (Ipswich Town). Offside, Queens Park Rangers. Alex Smithies tries a through ball, but Idrissa Sylla is caught offside. Sandro (Queens Park Rangers) wins a free kick in the defensive half. Foul by David McGoldrick (Ipswich Town). Attempt blocked. Cole Skuse (Ipswich Town) right footed shot from outside the box is blocked. Corner,  Ipswich Town. Conceded by Grant Hall. Karl Henry (Queens Park Rangers) wins a free kick in the attacking half. Foul by Cole Skuse (Ipswich Town). Attempt missed. Jonathan Douglas (Ipswich Town) header from the centre of the box is close, but misses to the left. Assisted by Freddie Sears with a cross following a corner. Corner,  Ipswich Town. Conceded by Alex Smithies. Attempt saved. Grant Ward (Ipswich Town) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Freddie Sears with a through ball. Alex Smithies (Queens Park Rangers) wins a free kick in the defensive half. Foul by Jonathan Douglas (Ipswich Town). Corner,  Ipswich Town. Conceded by Alex Smithies. Attempt saved. David McGoldrick (Ipswich Town) right footed shot from the right side of the box is saved in the bottom left corner. Assisted by Grant Ward. Attempt missed. David McGoldrick (Ipswich Town) right footed shot from more than 35 yards misses to the left. Assisted by Cole Skuse following a set piece situation. Substitution, Ipswich Town. Leon Best replaces Tom Lawrence. Foul by Nedum Onuoha (Queens Park Rangers). Grant Ward (Ipswich Town) wins a free kick in the attacking half. Corner,  Queens Park Rangers. Conceded by Grant Ward. Corner,  Queens Park Rangers. Conceded by Adam Webster. Sandro (Queens Park Rangers) wins a free kick in the defensive half. Foul by Jonathan Douglas (Ipswich Town). Sandro (Queens Park Rangers) hits the right post with a header from the right side of the six yard box. Assisted by Tjaronn Chery with a cross following a corner. Corner,  Queens Park Rangers. Conceded by Christophe Berra. Attempt missed. David McGoldrick (Ipswich Town) right footed shot from outside the box misses to the right. Assisted by Tom Lawrence. Foul by Sandro (Queens Park Rangers). Jonathan Douglas (Ipswich Town) wins a free kick in the defensive half. Foul by Karl Henry (Queens Park Rangers). Cole Skuse (Ipswich Town) wins a free kick on the left wing."," In this passage, Ipswich Town defeated Queens Park Rangers (QPR) 3-0 in a Championship match. The goals were scored by Grant Ward, Luke Varney (after a QPR keeper's miscue), and Tom Lawrence. Ipswich had several other opportunities to score but failed to convert. QPR offered little in attack and had a late chance when Sandro headed a corner against the post. Ipswich had struggled to score in recent games, but this win lifted them up four places to 14th, while QPR slipped to 15th. Mick McCarthy, Ipswich's manager, praised his team's performance, particularly Luke Varney, while Ian Holloway, QPR's manager, criticized his team's mental toughness and defensive play. The passage also details several unsuccessful attempts at scoring by both teams.",mistralai/Mistral-7B-Instruct-v0.3,0.2877,0.61367,0.95155,1,1.0,1,1,1,0.5997,1,0,0,1
